crate_id,tool_name,category,manual_url,ppe,checklist
C-01,biscuit Jointer,power-saw,https://rtfm.synshop.org/qr/crate01,"eye,ear,dustmask","cutter installed and tight|guard intact and free-moving|cord wrapped neatly|wrenches and keys present|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-02,Squeeze Clamps,misc,https://rtfm.synshop.org/qr/crate02,"eye","Please return to crate when done|report any damage to <b>info@synshop.org</b>"
C-03,90° Clamps,misc,https://rtfm.synshop.org/qr/crate03,"eye","Please return to crate when done|report any damage to <b>info@synshop.org</b>"
C-04,12" Circular Saw,power-saw, https://rtfm.synshop.org/qr/crate04,"eye,ear,dustmask","Make sure blade is secure in arbor|cord wrapped neatly|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-05,6-1/2" Circular Saw,power-saw, https://rtfm.synshop.org/qr/crate05,"eye,ear,dustmask","Make sure blade is secure in arbor|battery returned to charger|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-06,Orbital Sanders,sander, https://rtfm.synshop.org/qr/crate06,"eye,ear,dustmask","cord wrapped neatly|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-07,Jigsaws,power-saw, https://rtfm.synshop.org/qr/crate07,"eye,ear,dustmask","blades are returned to storage container|battery returned to charger -or|cord wrapped neatly|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-08,Grizzly Tracksaw,power-saw, https://rtfm.synshop.org/qr/crate08,"eye,ear,dustmask","track(s) hung back up|cord wrapped neatly|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-09,Palm Router,power-saw, https://rtfm.synshop.org/qr/crate09,"eye,ear,dustmask","router bits removed from collet|cord wrapped neatly|collet wrenches present|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-10,Kreg Jigs,specialty, https://rtfm.synshop.org/qr/crate10,"eye,ear","bits, drivers, keys present|tool wiped down|report any damage to <b>info@synshop.org</b>"
C-11,Extension Cords, misc, https://rtfm.synshop.org/qr/crate11,"eye","cords rolled up neatly|report any damage to <b>info@synshop.org</b>"
C-12,Sandpaper / Belts, misc, https://rtfm.synshop.org/qr/crate12,eye,"report any damage to <b>info@synshop.org</b>"
